name,latitude,longitude,free_bikes,empty_slots,total_bikes
W 100 St & Manhattan Ave,40.795,-73.9645,7,30,37
7 Ave & Central Park South,40.7667405590595,-73.9790689945221,0,0,0
28 St & 41 Ave,40.751047,-73.93797,0,22,22
Frederick Douglass Blvd & W 112 St,40.801694,-73.957145,33,1,34
3 Ave & E 112 St,40.795508,-73.941606,18,5,23
8 Ave & W 31 St,40.7505853470215,-73.9946848154068,61,32,93
Bergen St & Vanderbilt Ave,40.6794388,-73.9680438,16,8,24
Monroe St & Bedford Ave,40.6851443,-73.95380904,18,1,19
35 Ave & 37 St,40.7557327,-73.9236611,10,18,28
Bank St & Hudson St,40.73652889,-74.00618026,23,2,25
Greenwich St & W Houston St,40.728846,-74.008591,65,12,77
Madison St & Clinton St,40.71269042,-73.98776323,31,7,38
Stanton St & Mangin St,40.71782143,-73.97628939,16,3,19
Clinton Ave & Flushing Ave,40.69794,-73.96986848,19,3,22
Rivington St & Ridge St,40.71850211,-73.98329859,17,32,49
E 114 St & 1 Ave,40.7945663,-73.9362541,23,3,26
Columbia St & Lorraine St,40.6747055,-74.0075572,36,0,36
11 Ave & W 41 St,40.76030096,-73.99884222,38,13,51
Riverside Dr & W 104 St,40.8013434,-73.9711457439,43,15,58
Dwight St & Van Dyke St,40.67363551341504,-74.01195555925369,22,1,23
E 97 St & Madison Ave,40.787801,-73.953559,17,21,38
Union St & 4 Ave,40.6772744,-73.98282002,21,5,26
Berkeley Pl & 6 Ave,40.6765304,-73.97846879,35,5,40
Waterbury St & Stagg St,40.71019,-73.93734,3,20,23
3 Ave & Schermerhorn St,40.68683208,-73.9796772,28,6,34
Pike St & E Broadway,40.71406667,-73.99293911,17,14,31
Lafayette St & E 8 St,40.73020660529954,-73.99102628231049,56,29,85
Knickerbocker Ave & Thames St,40.70539,-73.92976,17,2,19
Devoe St & Morgan Ave,40.713811,-73.93515,6,12,18
McKibbin St & Bogart St,40.706237,-73.933871,27,2,29
Central Ave & Flushing Ave,40.702831,-73.9333,14,6,20
Central Ave & Starr Street,40.700003,-73.92834,13,10,23
Knickerbocker Ave & George St,40.704425,-73.92836,20,3,23
Irving Ave & DeKalb Ave,40.7027,-73.92095,22,4,26
Adelphi St & Myrtle Ave,40.69308257,-73.97178913,16,11,27
1 Ave & E 68 St,40.76500525,-73.95818491,12,50,62
