name,latitude,longitude,address,station_id,categories,distance,popularity
Chipotle Mexican Grill,40.795,-73.9645,"805 Columbus Ave (97th), New York, NY 10025",13145,"Fast Food Restaurant, Mexican Restaurant",108,0.9905379235137066
Tarr-Coyne Wild West Playground,40.795,-73.9645,"Central Park (at 93rd St), New York, NY 10025",16037,Playground,584,0.9918869627345542
Bánh,40.795,-73.9645,"942 Amsterdam Ave (btw 106 & 107th St), New York, NY 10025",13032,"Cafe, Coffee, and Tea House, Sandwich Spot, Vietnamese Restaurant",654,0.975686740871658
Pio Pio 604,40.795,-73.9645,"702 Amsterdam Ave (at W 94th St.), New York, NY 10025",13303,"Mexican Restaurant, Peruvian Restaurant, Spanish Restaurant",612,0.9940632873312526
Mama's Too,40.795,-73.9645,"2750 Broadway (106th Street), New York, NY 10025",13064,"Pizzeria, Italian Restaurant",694,0.9850783100816004
Osteria 106,40.795,-73.9645,"53 W 106th St (Btwn Manhattan and Columbus), New York, NY 10025",13236,"Italian Restaurant, Mediterranean Restaurant",482,0.9657593163614485
Silver Moon Bakery,40.795,-73.9645,"2740 Broadway (at W 105th St), New York, NY 10025",13002,"Bakery, Restaurant",676,0.9714328018651525
The Ravine,40.795,-73.9645,"105th St, New York, NY 10028",16046,Scenic Lookout,715,0.9781521453013952
Makana Hawaiian BBQ & Poke,40.795,-73.9645,"161 W 106th St (at Amsterdam Ave), New York, NY 10025",13026,"BBQ Joint, Hawaiian Restaurant",591,0.9792520588124695
North Woods,40.795,-73.9645,"New York, NY 10028",16032,Park,836,0.9645277892678524
Marea,40.7667405590595,-73.9790689945221,"240 Central Park S (at 59th St & Broadway), New York, NY 10019",13236,"Italian Restaurant, New American Restaurant, Seafood Restaurant",189,0.9985146467115407
SUGARFISH by sushi nozawa,40.7667405590595,-73.9790689945221,"210 W 56th St (West 56th Street), New York, NY 10019",13276,Sushi Restaurant,273,0.9907611965554846
Heckscher Playground,40.7667405590595,-73.9790689945221,"Central Park Driveway, Manhattan, New York State (at 62nd St), New York, NY 10019",16037,Playground,262,0.9979576392283683
Quality Meats,40.7667405590595,-73.9790689945221,"57 W 58th St (at 6th Ave), New York, NY 10019",13068,"American Restaurant, Steakhouse",312,0.9890478697401572
Pret A Manger,40.7667405590595,-73.9790689945221,"100 Central Park S, New York, NY 10019",13145,Fast Food Restaurant,239,0.9964581844846389
Nobu Fifty Seven,40.7667405590595,-73.9790689945221,"40 W 57th St (btwn 5th & 6th Ave), New York, NY 10019",13276,Sushi Restaurant,401,0.9942583574624901
Quality Italian,40.7667405590595,-73.9790689945221,"57 W 57th St (at 6th Ave), New York, NY 10019",13236,"Italian Restaurant, Steakhouse",311,0.9983853833715639
Tanner Smith's,40.7667405590595,-73.9790689945221,"204 W 55th St (btwn 7th Ave & Broadway), New York, NY 10019",13006,"Beer Bar, Cocktail Bar, American Restaurant",331,0.9906295829729628
Burger Joint,40.7667405590595,-73.9790689945221,"119 W 56th St (btwn 6th & 7th Ave), New York, NY 10019",13031,"Burger Joint, American Restaurant",284,0.9975204941149927
José de San Martín Statue,40.7667405590595,-73.9790689945221,"Central Park South and Avenue of the Americas, New York, NY 10019",16026,Monument,227,0.9978448275862069
