name,latitude,longitude,address,review_count,rating,categories,distance,url
Jacob's Pickles,40.795,-73.9645,"509 Amsterdam Ave, New York, NY 10024",5422,4.0,Comfort Food,1313.0025982345633,https://www.yelp.com/biz/jacobs-pickles-new-york?adjust_creative=0Mb7EZ24GH1bP7iZAx3urg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Mb7EZ24GH1bP7iZAx3urg
Arco Cafe,40.795,-73.9645,"886 Amsterdam Ave, New York, NY 10025",353,4.5,Sardinian,473.3664249466264,https://www.yelp.com/biz/arco-cafe-new-york?adjust_creative=0Mb7EZ24GH1bP7iZAx3urg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Mb7EZ24GH1bP7iZAx3urg
The Calaveras,40.795,-73.9645,"949 Columbus Ave, New York, NY 10025",233,4.5,Bars,537.3902148195012,https://www.yelp.com/biz/the-calaveras-new-york?adjust_creative=0Mb7EZ24GH1bP7iZAx3urg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Mb7EZ24GH1bP7iZAx3urg
Bareburger - Upper West Side,40.795,-73.9645,"795 Columbus Ave, Upper West Side  1, New York, NY 10025",393,3.5,Burgers,131.23376933349257,https://www.yelp.com/biz/bareburger-upper-west-side-new-york?adjust_creative=0Mb7EZ24GH1bP7iZAx3urg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Mb7EZ24GH1bP7iZAx3urg
Saiguette,40.795,-73.9645,"935 Columbus Ave, New York, NY 10025",731,4.5,Vietnamese,472.347832952342,https://www.yelp.com/biz/saiguette-new-york-2?adjust_creative=0Mb7EZ24GH1bP7iZAx3urg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Mb7EZ24GH1bP7iZAx3urg
Melba's Restaurant,40.795,-73.9645,"300 W 114th St, New York, NY 10026",1764,4.0,Southern,1121.4549953245626,https://www.yelp.com/biz/melbas-restaurant-new-york-2?adjust_creative=0Mb7EZ24GH1bP7iZAx3urg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Mb7EZ24GH1bP7iZAx3urg
Nobody Told Me,40.795,-73.9645,"951 Amsterdam Ave, New York, NY 10025",240,4.5,Cocktail Bars,648.2755372245454,https://www.yelp.com/biz/nobody-told-me-new-york?adjust_creative=0Mb7EZ24GH1bP7iZAx3urg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Mb7EZ24GH1bP7iZAx3urg
Amelie,40.795,-73.9645,"566 Amsterdam Ave, New York, NY 10024",297,4.5,French,1101.0923479205576,https://www.yelp.com/biz/amelie-new-york-2?adjust_creative=0Mb7EZ24GH1bP7iZAx3urg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Mb7EZ24GH1bP7iZAx3urg
The Tang - Upper West Side,40.795,-73.9645,"920 Amsterdam Ave, New York, NY 10025",303,4.5,Noodles,575.663990725183,https://www.yelp.com/biz/the-tang-upper-west-side-new-york?adjust_creative=0Mb7EZ24GH1bP7iZAx3urg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Mb7EZ24GH1bP7iZAx3urg
The Grand Feast,40.795,-73.9645,"854 Amsterdam Ave, New York, NY 10025",25,5.0,Breakfast & Brunch,428.5654011717988,https://www.yelp.com/biz/the-grand-feast-new-york?adjust_creative=0Mb7EZ24GH1bP7iZAx3urg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Mb7EZ24GH1bP7iZAx3urg
